"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1452734039"," 2016-1452676928"," 2016-1452675161"," 2016-1452674761"," 2016-1452663436"," 2016-1452662217"," 2016-1452653346"," 2016-1452652608"," 2016-1452652412"," 3743-1452593743"," 5877-1452565877"," 0417-1452560417"," 1690-1452501690"," 2016-1452313642"," 2016-1452309167"," 2016-1452303063"," 2016-1452132905"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,5,5,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,18
"BALLPEN BLACK",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"BALLPEN BLUE",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,5,2,1,2,0,0,0,2,0,0,0,2,0,1,1,0,16
"BOND PAPER SHORT",0,5,2,1,0,0,0,3,2,0,0,0,3,0,4,6,0,26
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,50,60
"CD-R ",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,5
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6
"DOUBLE CLIP 2",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"DOUBLE CLIP 3/4",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,20,0,80
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,60
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,20,0,50,0,0,0,0,0,0,0,5,0,0,75
"FOLDER LONG",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,10
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",2,0,0,0,1,0,7,0,0,1,1,0,0,0,0,0,0,12
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,2,1,5,0,0,1,0,0,0,1,0,0,0,0,0,10
"NEWSPRINT SHORT",0,0,2,0,5,0,0,3,0,0,0,2,0,0,5,0,0,17
NOTEBOOK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"PAPER CLIP SMALL",2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
