"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1459734832"," 2016-1459731288"," 2016-1459730506"," 2016-1459730470"," 2016-1459729047"," 7129-1459567129"," 8660-1459488660"," 4980-1459474980"," 2016-1459308399"," 2016-1459306916"," 2016-1459240252"," 2016-1459240136"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,5,0,0,0,0,0,5
"BALLPEN BLUE",0,0,0,0,0,0,5,0,0,0,0,0,5
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,0,5,1,5,3,5,0,0,0,5,24
"BOND PAPER SHORT",0,0,0,0,3,4,3,5,0,0,5,5,25
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,1,0,0,0,2,0,0,0,0,0,3
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 1",0,0,0,0,0,0,10,0,0,2,0,5,17
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,1,0,0,1
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0
