"Reordering Point Report "
"Item Name"," Quantity Last Oct 27 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 249"," 0"," 2"," -2"," 247"," "," 0"," 0"
ALCOHOL," 1001"," 540"," 228"," +312"," 1313"," "," 250"," 250"
"BALLPEN BLACK"," 395"," 0"," 88"," -88"," 307"," "," 150"," 250"
"BALLPEN BLUE"," 828"," 0"," 39"," -39"," 789"," "," 150"," 250"
"BALLPEN RED"," 1144"," 0"," 16"," -16"," 1128"," "," 150"," 250"
"BATTERY AA"," 411"," 0"," 3"," -3"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 790"," 200"," 320"," -120"," 670"," "," 150"," 250"
"BOND PAPER SHORT"," 1889"," 200"," 168"," +32"," 1921"," "," 150"," 250"
CALCULATOR," 63"," 0"," 6"," -6"," 57"," "," 50"," 150"
"CARBON PAPER LONG"," 3500"," 0"," 0"," 0"," 3500"," "," 100"," 150"
"CARBON PAPER SHORT"," 2873"," 0"," 0"," 0"," 2873"," "," 100"," 150"
"CBP BOX "," 405"," 100"," 33"," +67"," 472"," "," 150"," 250"
"CD-R "," 0"," 800"," 0"," +800"," 800"," "," 150"," 250"
CDRW," 593"," 1000"," 0"," +1000"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 137"," 0"," 80"," -80"," 57"," Need to Request"," 150"," 250"
"CORRECTION TAPE REFILL"," 8609"," 0"," 102"," -102"," 8507"," "," 150"," 250"
"DOUBLE CLIP 1"," 545"," 240"," 60"," +180"," 725"," "," 150"," 300"
"DOUBLE CLIP 2"," 882"," 0"," 73"," -73"," 809"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 911"," 0"," 51"," -51"," 860"," "," 150"," 350"
DVD," 5"," 800"," 0"," +800"," 805"," "," 100"," 150"
DVDR," 645"," 500"," 0"," +500"," 1145"," "," 150"," 250"
"ENVELOPE EXPANDED"," 709"," 0"," 140"," -140"," 569"," "," 0"," 0"
"ENVELOPE LONG"," 9050"," 0"," 1335"," -1335"," 7715"," "," 200"," 300"
"ENVELOPE SHORT"," 11946"," 0"," 240"," -240"," 11706"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 96"," 0"," 10"," -10"," 86"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 372"," 0"," 0"," 0"," 372"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 301"," 0"," 0"," 0"," 301"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 218"," 0"," 0"," 0"," 218"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 135"," 0"," 7"," -7"," 128"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 635"," 700"," 160"," +540"," 1175"," "," 150"," 250"
"FAX PAPER"," 44"," 200"," 4"," +196"," 240"," "," 100"," 150"
"FOLDER GREEN"," 1529"," 1000"," 312"," +688"," 2217"," "," 250"," 400"
"FOLDER LONG"," 3147"," 2690"," 300"," +2390"," 5537"," "," 250"," 400"
"FOLDER SHORT"," 3676"," 2000"," 60"," +1940"," 5616"," "," 250"," 350"
"GLUE "," 113"," 300"," 19"," +281"," 394"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 93"," 0"," 2"," -2"," 91"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 93"," 0"," 2"," -2"," 91"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 94"," 0"," 0"," 0"," 94"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 95"," 0"," 0"," 0"," 95"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 0"," 0"," 106"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 306"," 0"," 0"," 0"," 306"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 30"," 0"," 0"," 0"," 30"," Need to Request"," 100"," 150"
"HP INK 704 COLORED"," 9"," 0"," 0"," 0"," 9"," Need to Request"," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 529"," 0"," 0"," 0"," 529"," "," 100"," 150"
"HP INK 933XL CYAN"," 248"," 0"," 0"," 0"," 248"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 244"," 0"," 0"," 0"," 244"," "," 100"," 150"
"HP INK 933XL YELLOW"," 235"," 0"," 0"," 0"," 235"," "," 100"," 150"
"HP TONER 05A"," 139"," 0"," 57"," -57"," 82"," Need to Request"," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 35"," 0"," 5"," -5"," 30"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 28"," 0"," 0"," 0"," 28"," Need to Request"," 100"," 150"
"HP TONER 36A"," 111"," 0"," 0"," 0"," 111"," "," 100"," 150"
"HP TONER 53A"," 65"," 0"," 2"," -2"," 63"," Need to Request"," 100"," 150"
"HP TONER 80A "," 98"," 0"," 4"," -4"," 94"," Need to Request"," 150"," 200"
"HP TONER 85A"," 248"," 0"," 126"," -126"," 122"," Need to Request"," 150"," 250"
"HP TONER CARTRIDGE 78A"," 85"," 0"," 2"," -2"," 83"," "," 50"," 150"
"LETTER ENVELOPE"," 29739"," 0"," 80"," -80"," 29659"," "," 500"," 2000"
"LETTER HEAD"," 31906"," 0"," 18012"," -18012"," 13894"," "," 500"," 2500"
"LOG BOOK"," 974"," 0"," 14"," -14"," 960"," "," 150"," 300"
LOGBOOK," 51"," 0"," 1"," -1"," 50"," Need to Request"," 50"," 150"
"MAGAZINE FILE"," 190"," 0"," 0"," 0"," 190"," "," 100"," 200"
"MEMO PAD"," 1912"," 0"," 50"," -50"," 1862"," "," 150"," 250"
"NEWSPRINT LONG"," 322"," 200"," 102"," +98"," 420"," "," 150"," 250"
"NEWSPRINT SHORT"," 318"," 200"," 125"," +75"," 393"," "," 150"," 250"
NOTEBOOK," 159"," 0"," 9"," -9"," 150"," "," 50"," 250"
NOTEBOOK," 483"," 0"," 9"," -9"," 474"," "," 0"," 0"
"OPTICAL MOUSE "," 245"," 0"," 1"," -1"," 244"," "," 0"," 0"
"PAPER CLIP BIG"," 875"," 0"," 66"," -66"," 809"," "," 150"," 250"
"PAPER CLIP SMALL"," 236"," 0"," 69"," -69"," 167"," "," 150"," 250"
"PENCIL MONGOL"," 200"," 0"," 52"," -52"," 148"," "," 120"," 240"
"PENTEL PEN BLACK"," 80"," 0"," 26"," -26"," 54"," Need to Request"," 150"," 250"
"PENTEL PEN BLUE"," 203"," 0"," 2"," -2"," 201"," "," 150"," 250"
"PENTEL PEN RED"," 150"," 0"," 0"," 0"," 150"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 95"," 350"," 29"," +321"," 416"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 65"," 350"," 9"," +341"," 406"," "," 100"," 150"
"PENTEL PEN WB RED"," 257"," 350"," 1"," +349"," 606"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 5512"," 864"," 95"," +769"," 6281"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 3509"," 0"," 111"," -111"," 3398"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 353"," 0"," 40"," -40"," 313"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 150"," 0"," 43"," -43"," 107"," Need to Request"," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 2389"," 0"," 52"," -52"," 2337"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 648"," 0"," 23"," -23"," 625"," "," 150"," 250"
PUNCHER," 43"," 0"," 3"," -3"," 40"," Need to Request"," 100"," 150"
"RUBBER BAND BIG"," 96"," 0"," 0"," 0"," 96"," Need to Request"," 100"," 150"
"RUBBER BAND SMALL"," 36"," 20"," 31"," -11"," 25"," Need to Request"," 150"," 250"
RULER," 7"," 250"," 6"," +244"," 251"," "," 100"," 150"
SCISSOR," 59"," 0"," 14"," -14"," 45"," Need to Request"," 100"," 150"
"STABILO BLUE"," 477"," 0"," 11"," -11"," 466"," "," 100"," 150"
"STABILO GREEN"," 465"," 0"," 14"," -14"," 451"," "," 100"," 150"
"STABILO ORANGE"," 465"," 0"," 10"," -10"," 455"," "," 100"," 150"
"STABILO PINK"," 468"," 0"," 7"," -7"," 479"," "," 100"," 150"
"STABILO YELLOW"," 449"," 0"," 21"," -21"," 428"," "," 100"," 150"
"STAMP PAD INK BLUE"," 99"," 0"," 3"," -3"," 96"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 1075"," 1066"," 121"," +945"," 2020"," "," 200"," 400"
"STAPLER #35 "," 109"," 250"," 20"," +230"," 339"," "," 50"," 100"
"TAPE DISPENSER BIG"," 75"," 0"," 3"," -3"," 72"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 207"," 0"," 8"," -8"," 199"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 215"," 0"," 5"," -5"," 210"," "," 100"," 150"
"TAPE MASKING"," 169"," 0"," 15"," -15"," 154"," "," 150"," 250"
"TAPE MASKING 1"""," 283"," 0"," 13"," -13"," 270"," "," 100"," 250"
"TAPE PACKING 2'"," 249"," 0"," 213"," -213"," 36"," Need to Request"," 150"," 250"
"TAPE SCOTCH 1'"," 385"," 288"," 359"," -71"," 314"," "," 150"," 350"
"TRANSMITTAL SHEET"," 413"," 0"," 0"," 0"," 413"," "," 150"," 350"
"TRASH CAN"," 137"," 0"," 8"," -8"," 129"," "," 100"," 150"
