"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2015-1449198114"," 2015-1449195221"," 2015-1449194704"," 2015-1449191122"," 2015-1449141710"," 2015-1449043018"," 2015-1449034866"," 2015-1448959616"," 3977-1448413977"," 2752-1448412752"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,5,2,2,0,0,1,1,11
"BALLPEN BLACK",0,3,0,0,0,0,0,0,3,1,7
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,1,1
"BALLPEN RED",0,2,0,0,0,0,0,0,0,1,3
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,1,5,5,0,0,1,0,0,2,14
"BOND PAPER SHORT",2,3,0,0,4,0,2,0,3,2,16
CALCULATOR,0,0,0,0,0,0,0,0,0,1,1
"CARBON PAPER LONG",0,0,10,0,0,0,0,0,0,0,10
"CARBON PAPER SHORT",0,0,10,0,0,0,0,0,0,0,10
"CBP BOX ",5,0,0,0,0,0,0,0,0,0,5
"CD-R ",0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,1,1
"CORRECTION TAPE REFILL",1,0,2,0,0,0,0,0,7,2,12
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,8,0,8
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,8,0,8
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,10,0,0,15,0,0,0,0,0,25
"ENVELOPE LONG",10,50,0,10,0,0,10,0,0,2,82
"ENVELOPE SHORT",10,50,0,0,0,0,10,0,0,0,70
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,1,0,0,1
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,1,0,0,1
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,1,0,0,1
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,1,0,0,1
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,5,0,5
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,30,0,0,25,0,55
"FOLDER SHORT",0,0,0,0,0,30,0,0,0,0,30
"GLUE ",0,1,1,0,0,0,1,0,0,0,3
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,2,0,0,0,0,0,0,2
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,2,2,0,0,0,0,4
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,2,0,0,0,2,0,0,4
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,3000,30,0,0,0,0,0,0,3030
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0
LOGBOOK,2,0,0,0,0,0,0,0,0,0,2
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",1,0,0,0,0,0,0,0,0,0,1
"NEWSPRINT LONG",4,0,0,0,3,0,0,0,0,2,9
"NEWSPRINT SHORT",2,6,0,4,2,0,2,0,3,2,21
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,1,0,0,0,0,0,0,0,0,0,1
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,1,0,1
"PAPER CLIP SMALL",0,0,0,0,0,0,0,0,0,0,0
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,1,0,0,0,1,0,0,0,0,2
"PENTEL PEN BLUE",0,1,0,0,0,1,0,0,0,0,2
"PENTEL PEN RED",0,0,0,0,0,1,0,0,0,0,1
"PENTEL PEN WB BLACK",0,2,0,0,0,0,0,0,0,0,2
"PENTEL PEN WB BLUE",0,1,0,0,0,0,0,0,0,0,1
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,0,0,0,0,2,0,2
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,2,0,2
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,4,0,4
"PILOT BX-V5 SIGNPEN RED",1,0,0,0,0,0,0,0,1,0,2
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,2,0,2
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0
RULER,1,0,0,0,0,0,0,0,0,1,2
SCISSOR,0,0,0,0,0,0,0,0,0,1,1
"STABILO BLUE",0,0,0,0,0,0,0,0,2,0,2
"STABILO GREEN",0,1,0,0,0,0,0,0,2,0,3
"STABILO ORANGE",0,0,0,0,0,0,0,0,2,0,2
"STABILO PINK",0,1,0,0,0,0,0,0,0,0,1
"STABILO YELLOW",0,0,0,0,0,0,0,0,2,0,2
"STAMP PAD INK BLUE",0,1,0,0,0,0,0,0,0,0,1
"STAPLE WIRE BIG",0,1,0,0,1,0,0,0,0,1,3
"STAPLER #35 ",0,0,0,0,0,0,0,0,2,1,3
"TAPE DISPENSER BIG",1,0,0,0,0,0,0,0,2,0,3
"TAPE DOUBLE ADHESIVE WITH FOAM",0,3,0,0,0,0,0,0,0,0,3
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,2,0,0,0,2
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,4,5,0,0,0,9
"TAPE PACKING 2'",0,0,5,0,1,4,0,0,0,0,10
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0
Total,41,138,3033,58,30,75,33,6,87,22,3523
