"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1452130363"," 2016-1452127750"," 2016-1452126172"," 2016-1452070333"," 2016-1452070103"," 2016-1452069531"," 2016-1452063386"," 2016-1452061242"," 2016-1452060603"," 2016-1452053411"," 2016-1452053111"," 2016-1452052945"," 2016-1451960981"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,5,3,0,0,0,5,0,3,0,0,16
"BALLPEN BLACK",0,0,0,0,2,0,0,0,0,2,0,0,0,4
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,4,0,0,0,0,0,0,0,0,0,4
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",10,3,0,10,2,0,4,0,0,0,1,0,0,30
"BOND PAPER SHORT",10,0,6,0,2,0,5,0,0,0,1,0,0,24
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"DOUBLE CLIP 3/4",0,0,20,0,0,0,0,0,0,0,0,0,0,20
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,5,0,0,0,0,0,15,20,0,40
"ENVELOPE LONG",0,10,0,0,0,0,0,0,0,0,0,15,0,25
"ENVELOPE SHORT",0,0,0,15,0,0,0,0,0,0,0,0,0,15
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,2,0,0,0,2,0,0,0,0,0,4
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,2,0,0,0,0,0,2
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,2,0,0,0,0,0,2
