"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 8627-1449538627"," 7022-1449477022"," 6932-1449466932"," 5928-1449465928"," 4309-1449454309"," 3227-1449453227"," 0919-1449450919"," 0701-1449450701"," 0657-1449450657"," 2015-1449291004"," 2015-1449105682"," 2015-1448329774"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,10,0,2,0,0,20,0,6,0,1,0,0,39
"BALLPEN BLACK",10,0,0,0,0,9,0,0,0,3,0,0,22
"BALLPEN BLUE",10,0,0,0,0,6,0,0,0,2,0,0,18
"BALLPEN RED",10,0,0,0,0,0,0,0,0,0,0,0,10
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,20,10,0,15,0,0,0,0,0,0,50
"BOND PAPER SHORT",0,0,0,0,0,15,0,0,0,0,0,0,15
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,140,20,0,160
"CD-R ",0,0,0,0,0,0,0,0,0,1,0,0,1
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",8,0,0,0,0,24,0,0,0,1,0,0,33
"DOUBLE CLIP 1",0,0,5,0,0,3,2,0,0,0,0,0,10
"DOUBLE CLIP 2",0,0,3,0,0,3,2,0,0,1,0,0,9
"DOUBLE CLIP 3/4",0,0,5,0,0,3,1,0,0,0,0,0,9
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,5,0,0,5
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,15,0,0,15
"ENVELOPE LONG",0,0,0,0,0,0,0,0,20,0,0,0,20
"ENVELOPE SHORT",0,0,0,0,0,20,0,0,0,0,0,0,20
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,10,0,0,0,0,10
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,12,0,0,0,1,0,0,13
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0
