"Daily Approved Request Report from 12:00am to 11:59pm "
Item," 2017-1483578088"," 2017-1483513693"," 2017-1483497146"," 2017-1483491710"," 2017-1483426538"," 2017-1483410307"," 2017-1483407863"," 2017-1483407827"," 2017-1483406552"," 2017-1483406491"," 2017-1482833202"," 2017-1482807887"," 2017-1482804159"," 2017-1482386050"," 2017-1482370055"," 2017-1482309788"," 2017-1482299134"," 2017-1482285303"," 2017-1482229858"," 2017-1482229758"," 2017-1482203324"," 2017-1482128480"," 2017-1481796231"," 2017-1481253252"," 2017-1480397544"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,1,10,0,0,0,0,0,10,5,5,0,5,0,0,0,10,0,1,2,2,10,2,0,0,5,68
"BALLPEN BLACK",4,4,0,0,0,0,0,0,0,5,0,0,0,5,0,10,0,2,0,0,15,0,0,0,0,45
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,20
"BALLPEN RED",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,4,2,0,0,0,41
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20
"ENVELOPE EXPANDED",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,120
"ENVELOPE LONG",30,0,50,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,180
"ENVELOPE SHORT",30,0,20,0,0,0,0,0,0,0,10,0,0,50,0,50,0,0,0,0,0,10,0,0,0,170
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,2,0,0,0,0,0,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9
"EPSON INK CYAN T6642",0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
"EPSON INK MAGENTA T6643",0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
"EPSON INK YELLOW T6644",0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,6,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,19,0,50,0,125
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
