"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 4216-1452564216"," 3453-1452563453"," 3404-1452563404"," 1835-1452561835"," 4070-1452504070"," 4467-1452494467"," 3959-1452493959"," 3097-1452493097"," 4402-1452474402"," 2016-1452309175"," 2016-1452215537"," 2016-1452045168"," 2016-1452044962"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,5,0,0,0,0,0,30,30,0,5,10,0,0,80
"BALLPEN BLACK",1,0,0,0,0,4,0,25,0,0,0,0,2,32
"BALLPEN BLUE",0,0,0,0,0,4,0,0,0,0,0,0,0,4
"BALLPEN RED",0,0,0,0,0,4,0,0,0,0,0,0,0,4
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,0,0,0,0,0,0,20,0,0,20,0,40
"BOND PAPER SHORT",0,0,0,5,0,0,0,0,0,0,0,20,0,25
CALCULATOR,0,0,0,0,0,4,0,0,0,0,0,0,0,4
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,4,2,2,0,0,0,0,0,8
"CORRECTION TAPE REFILL",0,0,0,0,0,0,1,5,0,0,0,0,0,6
"DOUBLE CLIP 1",0,0,30,0,0,0,1,0,0,0,0,0,0,31
"DOUBLE CLIP 2",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"DOUBLE CLIP 3/4",0,0,0,0,0,0,6,0,0,0,0,0,0,6
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",1,0,0,0,0,0,0,0,0,0,0,1,0,2
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,11,0,0,0,0,0,0,11
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,30,0,10,0,0,0,0,0,0,0,0,0,40
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,3,0,0,0,0,0,0,0,0,0,3
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,4,0,2,0,0,0,0,0,0,6
"HP INK 704 COLORED",0,0,0,0,4,0,0,0,0,0,0,0,0,4
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
