"Consumption Report (Jan 1 2016 to Apr 26 2016)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"A4TECH  KEYBOARD"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1
"BALLPEN BLACK"," 0"," 9"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 1"," 0"," 1"," 0"," 5"," 14"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 8"," 7"," 0",71
"BALLPEN BLUE"," 0"," 6"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 0"," 3"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0",31
"BALLPEN RED"," 0"," 5"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 7"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",21
"BATTERY AA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BATTERY AAA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BATTERY D"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"BOND PAPER LONG "," 15"," 20"," 245"," 47"," 30"," 1"," 0"," 5"," 5"," 13"," 11"," 3"," 0"," 73"," 0"," 2"," 53"," 0"," 1"," 3"," 0"," 49"," 17"," 3"," 5"," 0"," 0"," 0"," 0"," 11"," 0"," 0"," 15"," 0"," 2"," 0"," 0",632
"BOND PAPER SHORT"," 0"," 15"," 21"," 15"," 20"," 1"," 0"," 5"," 5"," 55"," 10"," 10"," 5"," 45"," 0"," 0"," 26"," 0"," 0"," 6"," 0"," 15"," 21"," 3"," 5"," 6"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 2"," 7"," 0",305
CALCULATOR," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",7
"CARBON PAPER LONG"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 30"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",31
"CARBON PAPER SHORT"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",10
