"Daily Approved Request Report from 12:00am to 11:59pm "
Item," 2017-1494490860"," 2017-1494405845"," 2017-1494403230"," 2017-1494401560"," 2017-1494401120"," 2017-1494378074"," 2017-1494377792"," 2017-1494307870"," 2017-1494208829"," 2017-1493946547"," 2017-1493285899"," 2017-1493260507"," 2017-1493169808"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",6,0,2,0,2,0,0,0,0,0,15,0,0,25
"BALLPEN BLUE",6,0,1,0,4,0,0,0,0,15,15,1,0,42
"BALLPEN RED",0,0,0,0,2,0,0,0,0,0,0,0,0,2
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER A4-70 GSM",0,0,0,0,2,0,0,0,0,0,0,0,2,4
"BOND PAPER LONG ",6,0,1,0,2,10,10,0,0,0,0,1,0,30
"BOND PAPER SHORT",6,0,2,0,0,0,0,0,0,0,10,1,0,19
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,15,10,0,0,0,0,0,0,0,0,0,25
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COPY PAPER A4 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desk Tray 2 Layer",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 1",5,0,0,0,0,0,0,0,0,0,0,3,0,8
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,3,0,0,0,0,0,0,0,0,1,0,0,4
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"File Tray",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,50,0,0,50
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,10,0,0,10
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,10,0,0,10
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,2,0,2
