"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1459311035"," 2016-1459238880"," 2016-1459238819"," 2016-1459213532"," 2016-1459212917"," 2016-1459211442"," 2016-1459147132"," 2016-1459143229"," 2016-1459135943"," 2016-1459132253"," 2016-1459130244"," 2016-1458700137"," 2016-1458698670"," 2016-1458630104"," 2016-1458615506"," 2187-1458522187"," 2016-1458184944"," 2016-1458177580"," 2016-1457934981"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",3,0,0,0,5,5,1,0,1,2,0,0,2,0,0,0,2,0,5,26
"BOND PAPER SHORT",0,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,2,0,5,14
CALCULATOR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"CORRECTION TAPE REFILL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
"DOUBLE CLIP 1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DOUBLE CLIP 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DOUBLE CLIP 3/4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,100
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
