"Reordering Point Report "
"Item Name"," Quantity Last Dec 20 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 247"," 0"," 1"," -1"," 246"," "," 0"," 0"
ALCOHOL," 1298"," 504"," 73"," +431"," 1729"," "," 250"," 250"
"BALLPEN BLACK"," 597"," 0"," 28"," -28"," 569"," "," 150"," 250"
"BALLPEN BLUE"," 1079"," 0"," 14"," -14"," 1065"," "," 150"," 250"
"BALLPEN RED"," 1218"," 0"," 7"," -7"," 1211"," "," 150"," 250"
"BATTERY AA"," 408"," 0"," 0"," 0"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 735"," 300"," 155"," +145"," 880"," "," 150"," 250"
"BOND PAPER SHORT"," 2021"," 300"," 57"," +243"," 2264"," "," 150"," 250"
CALCULATOR," 55"," 0"," 1"," -1"," 54"," "," 50"," 150"
"CARBON PAPER LONG"," 3480"," 0"," 0"," 0"," 3480"," "," 100"," 150"
"CARBON PAPER SHORT"," 2873"," 0"," 0"," 0"," 2873"," "," 100"," 150"
"CBP BOX "," 572"," 700"," 220"," +480"," 1052"," "," 150"," 250"
"CD-R "," 800"," 0"," 1"," -1"," 799"," "," 150"," 250"
CDRW," 1593"," 0"," 0"," 0"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 56"," 0"," 6"," -6"," 50"," Need to Request"," 150"," 250"
"CORRECTION TAPE REFILL"," 8499"," 0"," 55"," -55"," 8444"," "," 150"," 250"
"DOUBLE CLIP 1"," 1180"," 0"," 22"," -22"," 1158"," "," 150"," 300"
"DOUBLE CLIP 2"," 809"," 50"," 11"," +39"," 848"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 1555"," 0"," 24"," -24"," 1531"," "," 150"," 350"
DVD," 805"," 0"," 0"," 0"," 805"," "," 100"," 150"
DVDR," 1145"," 0"," 5"," -5"," 1140"," "," 150"," 250"
"ENVELOPE EXPANDED"," 569"," 0"," 35"," -35"," 534"," "," 0"," 0"
"ENVELOPE LONG"," 7715"," 3000"," 60"," +2940"," 10655"," "," 200"," 300"
"ENVELOPE SHORT"," 11706"," 3000"," 80"," +2920"," 14626"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 86"," 0"," 6"," -6"," 80"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 372"," 0"," 1"," -1"," 371"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 301"," 0"," 1"," -1"," 300"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 218"," 0"," 1"," -1"," 217"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 128"," 0"," 10"," -10"," 118"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 1172"," 0"," 67"," -67"," 1105"," "," 150"," 250"
"FAX PAPER"," 240"," 0"," 0"," 0"," 240"," "," 100"," 150"
"FOLDER GREEN"," 5207"," 0"," 310"," -310"," 4897"," "," 250"," 400"
"FOLDER LONG"," 7537"," 0"," 0"," 0"," 7537"," "," 250"," 400"
"FOLDER SHORT"," 5616"," 0"," 0"," 0"," 5616"," "," 250"," 350"
"GLUE "," 391"," 0"," 16"," -16"," 375"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 91"," 0"," 0"," 0"," 91"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 91"," 0"," 0"," 0"," 91"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 94"," 0"," 1"," -1"," 93"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 95"," 0"," 1"," -1"," 94"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 0"," 0"," 106"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 306"," 0"," 0"," 0"," 306"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 130"," 0"," 7"," -7"," 123"," "," 100"," 150"
"HP INK 704 COLORED"," 109"," 0"," 4"," -4"," 105"," "," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 529"," 0"," 0"," 0"," 529"," "," 100"," 150"
"HP INK 933XL CYAN"," 248"," 0"," 0"," 0"," 248"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 244"," 0"," 0"," 0"," 244"," "," 100"," 150"
"HP INK 933XL YELLOW"," 235"," 0"," 0"," 0"," 235"," "," 100"," 150"
"HP TONER 05A"," 70"," 100"," 40"," +60"," 130"," "," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 30"," 0"," 2"," -2"," 28"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 28"," 0"," 0"," 0"," 28"," Need to Request"," 100"," 150"
"HP TONER 36A"," 111"," 0"," 0"," 0"," 111"," "," 100"," 150"
"HP TONER 53A"," 63"," 0"," 0"," 0"," 63"," Need to Request"," 100"," 150"
"HP TONER 80A "," 92"," 0"," 2"," -2"," 90"," Need to Request"," 150"," 200"
"HP TONER 85A"," 318"," 200"," 33"," +167"," 485"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 83"," 0"," 1"," -1"," 82"," "," 50"," 150"
