"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1461232985"," 2016-1461205586"," 2016-1461130712"," 2016-1461124049"," 2016-1461123643"," 2016-1461120308"," 2016-1461051224"," 2016-1461050646"," 2016-1461050331"," 2016-1461050100"," 2016-1461049673"," 2016-1461035590"," 2016-1461030104"," 2016-1461027718"," 2016-1461026976"," 2016-1460967714"," 2016-1460942134"," 2016-1460701770"," 2016-1460701542"," 2016-1460429051"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,5,5,5,0,3,0,2,4,3,0,0,0,0,0,0,0,0,0,27
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,0,0,3,1,4,1,0,2,2,5,0,4,5,0,0,0,0,3,30
"BOND PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,2,8
"CORRECTION TAPE REFILL",0,0,20,0,2,5,0,0,0,0,4,0,0,6,0,0,0,0,0,6,43
"DOUBLE CLIP 1",0,0,10,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,2,19
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"DOUBLE CLIP 3/4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,40
"ENVELOPE LONG",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,24
"ENVELOPE SHORT",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,22
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
