"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2015-1449621121"," 4505-1449564505"," 0351-1449550351"," 1150-1449541150"," 7777-1449537777"," 0495-1449450495"," 0348-1449450348"," 2015-1449195941"," 6342-1448606342"," 2015-1445997144"," 2015-1444300803"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,2,0,0,0,0,0,7,0,0,0,9
"BALLPEN BLACK",0,1,0,0,0,0,0,0,0,0,0,1
"BALLPEN BLUE",0,1,0,0,0,0,0,0,0,0,0,1
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,0,0,0,0,0,10,0,0,0,0,10
"BOND PAPER SHORT",0,0,0,0,0,0,0,2,0,0,0,2
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,20,0,0,0,0,20
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,115,0,0,0,0,0,0,0,0,0,115
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,6,0,0,10,0,0,0,16
"DOUBLE CLIP 1",0,0,0,0,3,0,0,0,0,0,0,3
"DOUBLE CLIP 2",0,0,0,0,3,0,0,0,0,0,0,3
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,25,0,0,0,0,0,0,0,0,0,25
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,140,50,0,0,0,0,0,0,0,0,190
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0
