"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1451872891"," 2016-1451872435"," 2016-1451872359"," 2016-1451872197"," 2016-1451872107"," 2016-1451869907"," 2016-1451869439"," 2016-1451869051"," 2016-1451868633"," 2016-1451868105"," 2016-1451355985"," 2016-1451269080"," 2016-1450853654"," 2016-1450834889"," 2016-1450056305"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,7,0,0,0,4,0,1,0,4,0,4,20
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",5,0,0,0,0,0,0,0,4,15,6,0,0,10,0,40
"BOND PAPER SHORT",10,0,2,0,0,0,2,2,2,0,5,0,0,0,0,23
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,2,0,0,20,5,0,0,0,27
"ENVELOPE LONG",0,0,0,0,0,0,10,14,0,0,35,5,0,0,0,64
"ENVELOPE SHORT",0,0,0,0,0,0,0,10,0,0,10,5,0,0,0,25
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,16
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",5,0,0,0,0,0,0,0,3,0,0,0,2,0,7,17
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,10
"NEWSPRINT SHORT",5,0,3,0,5,3,10,10,0,0,1,0,7,0,0,44
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,11
"PAPER CLIP SMALL",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,5
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
"PENTEL PEN RED",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,22
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,12
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,11
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,5
"STABILO ORANGE",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"STABILO PINK",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5
"STABILO YELLOW",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,3,0,0,1,0,0,0,0,0,0,6,10
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
