"Reordering Point Report "
"Item Name"," Quantity Last Jan 17 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"A4TECH  KEYBOARD"," 246"," 0"," 0"," 0"," 246"," "," 0"," 0"
ALCOHOL," 1736"," 504"," 178"," +326"," 2062"," "," 250"," 250"
"BALLPEN BLACK"," 576"," 0"," 30"," -30"," 546"," "," 150"," 250"
"BALLPEN BLUE"," 1065"," 0"," 7"," -7"," 1058"," "," 150"," 250"
"BALLPEN RED"," 1211"," 0"," 4"," -4"," 1207"," "," 150"," 250"
"BATTERY AA"," 408"," 0"," 0"," 0"," 408"," "," 100"," 150"
"BATTERY AAA"," 287"," 0"," 0"," 0"," 287"," "," 100"," 150"
"BATTERY D"," 153"," 0"," 0"," 0"," 153"," "," 100"," 150"
"BOND PAPER LONG "," 900"," 500"," 250"," +250"," 1150"," "," 150"," 250"
"BOND PAPER SHORT"," 2266"," 500"," 177"," +323"," 2589"," "," 150"," 250"
CALCULATOR," 54"," 0"," 5"," -5"," 49"," Need to Request"," 50"," 150"
"CARBON PAPER LONG"," 3480"," 0"," 0"," 0"," 3480"," "," 100"," 150"
"CARBON PAPER SHORT"," 2873"," 0"," 10"," -10"," 2863"," "," 100"," 150"
"CBP BOX "," 1052"," 0"," 363"," -363"," 689"," "," 150"," 250"
"CD-R "," 799"," 200"," 30"," +170"," 969"," "," 150"," 250"
CD-R," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
CDRW," 1593"," 0"," 0"," 0"," 1593"," "," 100"," 150"
"CORRECTION TAPE "," 50"," 250"," 3"," +247"," 297"," "," 150"," 250"
"CORRECTION TAPE REFILL"," 8444"," 0"," 113"," -113"," 8331"," "," 150"," 250"
"DOUBLE CLIP 1"," 1158"," 0"," 46"," -46"," 1112"," "," 150"," 300"
"DOUBLE CLIP 2"," 848"," 0"," 30"," -30"," 818"," "," 100"," 200"
"DOUBLE CLIP 3/4"," 1531"," 0"," 32"," -32"," 1499"," "," 150"," 350"
DVD," 805"," 0"," 0"," 0"," 805"," "," 100"," 150"
DVDR," 1140"," 100"," 20"," +80"," 1220"," "," 150"," 250"
"ENVELOPE EXPANDED"," 534"," 2000"," 235"," +1765"," 2299"," "," 0"," 0"
"ENVELOPE LONG"," 10655"," 0"," 1647"," -1647"," 9008"," "," 200"," 300"
"ENVELOPE SHORT"," 14626"," 0"," 157"," -157"," 14469"," "," 250"," 400"
"EPSON 8750 RIBBON BLACK "," 140"," 0"," 0"," 0"," 140"," "," 100"," 150"
"EPSON BLACK INK T6641"," 83"," 0"," 9"," -9"," 74"," Need to Request"," 100"," 150"
"EPSON INK CYAN T6642"," 371"," 0"," 4"," -4"," 367"," "," 100"," 150"
"EPSON INK MAGENTA T6643"," 300"," 0"," 4"," -4"," 296"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 217"," 0"," 4"," -4"," 213"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 118"," 0"," 0"," 0"," 118"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 1105"," 0"," 125"," -125"," 980"," "," 150"," 250"
"FAX PAPER"," 240"," 50"," 0"," +50"," 290"," "," 100"," 150"
"FOLDER GREEN"," 4897"," 1565"," 50"," +1515"," 6412"," "," 250"," 400"
"FOLDER LONG"," 7537"," 0"," 150"," -150"," 7387"," "," 250"," 400"
"FOLDER SHORT"," 5616"," 1500"," 20"," +1480"," 7096"," "," 250"," 350"
"GLUE "," 375"," 0"," 4"," -4"," 371"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 91"," 0"," 1"," -1"," 90"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 91"," 0"," 1"," -1"," 90"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 93"," 0"," 0"," 0"," 93"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 94"," 0"," 0"," 0"," 94"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 106"," 0"," 1"," -1"," 105"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 306"," 0"," 1"," -1"," 305"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 125"," 0"," 19"," -19"," 106"," "," 100"," 150"
"HP INK 704 COLORED"," 105"," 0"," 19"," -19"," 86"," Need to Request"," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 529"," 0"," 0"," 0"," 529"," "," 100"," 150"
"HP INK 933XL CYAN"," 248"," 0"," 0"," 0"," 248"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 244"," 0"," 0"," 0"," 244"," "," 100"," 150"
"HP INK 933XL YELLOW"," 235"," 0"," 0"," 0"," 235"," "," 100"," 150"
"HP TONER 05A"," 133"," 0"," 47"," -47"," 86"," Need to Request"," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 28"," 0"," 2"," -2"," 26"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 28"," 0"," 8"," -8"," 20"," Need to Request"," 100"," 150"
"HP TONER 36A"," 111"," 0"," 0"," 0"," 111"," "," 100"," 150"
"HP TONER 53A"," 63"," 0"," 2"," -2"," 61"," Need to Request"," 100"," 150"
"HP TONER 80A "," 90"," 0"," 0"," 0"," 90"," Need to Request"," 150"," 200"
"HP TONER 85A"," 485"," 0"," 119"," -119"," 366"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 82"," 0"," 2"," -2"," 80"," "," 50"," 150"
"LETTER ENVELOPE"," 29659"," 0"," 103"," -103"," 29556"," "," 500"," 2000"
"LETTER HEAD"," 13894"," 0"," 0"," 0"," 13894"," "," 500"," 2500"
"LOG BOOK"," 959"," 0"," 6"," -6"," 953"," "," 150"," 300"
LOGBOOK," 42"," 0"," 0"," 0"," 42"," Need to Request"," 50"," 150"
"MAGAZINE FILE"," 587"," 0"," 82"," -82"," 505"," "," 100"," 200"
"MEMO PAD"," 1846"," 0"," 27"," -27"," 1819"," "," 150"," 250"
"NEWSPRINT LONG"," 507"," 150"," 36"," +114"," 621"," "," 150"," 250"
"NEWSPRINT SHORT"," 513"," 150"," 88"," +62"," 575"," "," 150"," 250"
NOTEBOOK," 1221"," 0"," 8"," -8"," 1213"," "," 50"," 250"
NOTEBOOK," 474"," 0"," 0"," 0"," 474"," "," 0"," 0"
"OPTICAL MOUSE "," 243"," 0"," 1"," -1"," 242"," "," 0"," 0"
"PAPER CLIP BIG"," 771"," 0"," 42"," -42"," 729"," "," 150"," 250"
"PAPER CLIP SMALL"," 494"," 0"," 46"," -46"," 448"," "," 150"," 250"
"PENCIL MONGOL"," 394"," 204"," 18"," +186"," 580"," "," 120"," 240"
"PENTEL PEN BLACK"," 308"," 80"," 7"," +73"," 381"," "," 150"," 250"
"PENTEL PEN BLUE"," 349"," 200"," 0"," +200"," 549"," "," 150"," 250"
"PENTEL PEN RED"," 300"," 200"," 2"," +198"," 498"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 414"," 0"," 0"," 0"," 414"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 405"," 0"," 0"," 0"," 405"," "," 100"," 150"
"PENTEL PEN WB RED"," 606"," 0"," 0"," 0"," 606"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 7086"," 0"," 104"," -104"," 6982"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 4205"," 0"," 62"," -62"," 4143"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 721"," 1068"," 20"," +1048"," 1769"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 534"," 1068"," 68"," +1000"," 1534"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 3368"," 268"," 33"," +235"," 3603"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 625"," 0"," 0"," 0"," 625"," "," 150"," 250"
PUNCHER," 239"," 0"," 0"," 0"," 239"," "," 100"," 150"
"RUBBER BAND BIG"," 240"," 0"," 0"," 0"," 240"," "," 100"," 150"
"RUBBER BAND SMALL"," 295"," 0"," 12"," -12"," 283"," "," 150"," 250"
RULER," 250"," 0"," 2"," -2"," 248"," "," 100"," 150"
SCISSOR," 163"," 130"," 4"," +126"," 289"," "," 100"," 150"
"STABILO BLUE"," 459"," 0"," 5"," -5"," 454"," "," 100"," 150"
"STABILO GREEN"," 445"," 0"," 8"," -8"," 437"," "," 100"," 150"
"STABILO ORANGE"," 448"," 0"," 9"," -9"," 439"," "," 100"," 150"
"STABILO PINK"," 448"," 0"," 12"," -12"," 454"," "," 100"," 150"
"STABILO YELLOW"," 408"," 200"," 12"," +188"," 596"," "," 100"," 150"
"STAMP PAD INK BLUE"," 86"," 0"," 1"," -1"," 85"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 1974"," 0"," 64"," -64"," 1910"," "," 200"," 400"
"STAPLER #35 "," 335"," 0"," 5"," -5"," 330"," "," 50"," 100"
"TAPE DISPENSER BIG"," 71"," 0"," 2"," -2"," 69"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 196"," 0"," 0"," 0"," 196"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 210"," 0"," 2"," -2"," 208"," "," 100"," 150"
"TAPE MASKING"," 154"," 0"," 18"," -18"," 136"," Need to Request"," 150"," 250"
"TAPE MASKING 1"""," 252"," 0"," 22"," -22"," 230"," "," 100"," 250"
"TAPE PACKING 2'"," 36"," 1500"," 61"," +1439"," 1475"," "," 150"," 250"
"TAPE SCOTCH 1'"," 804"," 624"," 194"," +430"," 1234"," "," 150"," 350"
"TRANSMITTAL SHEET"," 413"," 0"," 15"," -15"," 398"," "," 150"," 350"
"TRASH CAN"," 129"," 0"," 0"," 0"," 129"," "," 100"," 150"
